time,channel_id,msg_id,item,price,seller_tag,seller_avipart
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:37:01,733999480898322452,798452375002021899,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,,,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,xxhearts blue donotsteal738929924647419954 Shamrock set+pink shirt unleveled all 80$,80.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,xxhearts blue donotsteal738929924647419954 Shamrock set+pink shirt unleveled all 80$,80.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,xxhearts red donotsteal738929744115925022 Cur pirate boots 12$ xxhearts pink donotsteal738929962605608970 Demon Eyes 30$,12.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,xxhearts red donotsteal738929744115925022 Cur pirate boots 12$ xxhearts pink donotsteal738929962605608970 Demon Eyes 30$,12.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,xxhearts red donotsteal738929744115925022 Cur pirate boots 12$ xxhearts pink donotsteal738929962605608970 Demon Eyes 30$,12.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:35:45,733999480898322452,797484600208916500,xxhearts red donotsteal738929744115925022 Cur pirate boots 12$ xxhearts pink donotsteal738929962605608970 Demon Eyes 30$,12.0,Ana♛#5003,332929382672760845/8024dc4b86de9088da818b705751b620
2021-01-13T16:08:42,733999480898322452,798946637887701024,,,Jaira#1776,742914115332472947/6d5ee3c787e0be00d82d7a300d5d23d6
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Grey Mag Hat 70$,70.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Purple GG Socks + Dress + Socks 50$,50.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Daylight Dweller Ears 60$,60.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Fall Hair 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Black Shinobi Thigh Highs 18$,18.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 White Ghost Girl Bow 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Curs 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Riding Crop 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Green Pom Pom Set 60$,60.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Blue Pom Pom Set 50$,50.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Black Sham Shirt + Handhelds 70$,70.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Black Classic Witch Set 15$,15.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Orange Spiderweb Dress 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Blue Spiderweb Dress 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Black Spiderweb Dress 8$,8.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Crooked Smile Set 15$,15.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Pea Shooter On Head 25$,25.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Blue Ghost Boy Set 40$,40.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Evan Hair 20$,20.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Daylight Dweller Ears 65$,65.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Mystical Nightshade Leaves 30$,30.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Black Serpent Leg Tattoo 25$,25.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Dark Rosy Cheeks 18$,18.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Overwhelmed 15$,15.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Mystic Mountain Tattoo Set (w/ back) 40$,40.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Imperial Leaves Tatt Set (w/o back) 70$,70.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
2021-01-13T16:02:05,733999480898322452,798944972392103966,788444397439418470 Ikebana Tatt Set (w/ back) 75$,75.0,pem#4481,599333381880414278/cbd552fb842cc7ddd2615820a2079137
